Norma,Data de publicação,Ementa,Órgão de origem,Assuntos,Texto Integral,Tipo,Filename
INA - INSTRUÇÃO ADMINISTRATIVA 001/2019,05/04/2019,"Dispõe sobre procedimentos para atualização, monitoramento e controle do Plano Diretor de Tecnologia da Informação da ANEEL.",SGI/ANEEL,"Procedimento 
 ",http://www2.aneel.gov.br/cedoc/ina2019001sgi.pdf,INA,ina2019001sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2018,25/05/2018,Dispõe sobre procedimentos para a manutenção de séries históricas íntegras e versionadas dos dados primários gerados nas áreas de atuação das Unidades Organizacionais a serem observados no âmbito da Agência Nacional de Energia Elétrica - ANEEL.,SGI/ANEEL,"Procedimento 
 ",http://www2.aneel.gov.br/cedoc/ina2018001sgi.pdf,INA,ina2018001sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2018,04/05/2018,"Altera o limite do valor de reembolso relativo às bolsas de incentivo à graduação, pós-graduação e idiomas e inclui a possibilidade de concessão de abono na jornada de trabalho para frequentar aulas presenciais em cursos de pós-graduação no âmbito do Programa de Incentivo Educacional, regulado pela Instrução Administrativa ANEEL 005, de 23 de dezembro de 2015.",SRH/ANEEL,"Alteração 
 ",http://www2.aneel.gov.br/cedoc/ina2018001srh.pdf,INA,ina2018001srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 002/2019,20/05/2019,"Dispõe sobre a composição e o funcionamento do Comitê de Arquitetura de Tecnologia da Informação; e revoga a Instrução Administrativa ANEEL 003, de 09.2014.",SGI/ANEEL,"Fixação 
 ",http://www2.aneel.gov.br/cedoc/ina2019002sgi.pdf,INA,ina2019002sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 003/2019,13/09/2019,Dispõe sobre a definição de acrônimos das coordenações e núcleos da Superintendência de Gestão Técnica da Informação - SGI.,SGI/ANEEL,"Fixação 
 ",http://www2.aneel.gov.br/cedoc/ina2019003sgi.pdf,INA,ina2019003sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 003/2018,02/08/2019,"Dispõe acerca de diretrizes sobre Desenvolvimento e Obtenção de Software Seguro, a serem observados no âmbito da Agência Nacional de Energia Elétrica – ANEEL.",SGI/ANEEL,"Diretrizes 
 ",http://www2.aneel.gov.br/cedoc/ina2018003sgi.pdf,INA,ina2018003sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 002/2018,20/07/2018,"Dispõe sobre os procedimentos para o planejamento, a execução e o monitoramento de ações de comunicação da SGI da Agência Nacional de Energia Elétrica – ANEEL.",SGI/ANEEL,"Procedimento 
 ",http://www2.aneel.gov.br/cedoc/ina2018002sgi.pdf,INA,ina2018002sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 004/2019,18/10/2019,"Aprova a Metodologia de Administração de Dados, Business Intelligence e Administração de Banco de Dados, que trata dos procedimentos gerais referentes aos bancos de dados mantidos pela SGI, a ser observada no âmbito da Agência Nacional de Energia Elétrica - ANEEL.",SGI/ANEEL,"Aprovação 
 ",http://www2.aneel.gov.br/cedoc/ina2019004sgi.pdf,INA,ina2019004sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2017,10/02/2017,Estabelece procedimentos gerais referentes ao uso do meio eletrônico para a realização do processo administrativo a serem observados no âmbito da Agência Nacional de Energia Elétrica – ANEEL.,SGE/SGI/ANEEL,"Fixação 
 ",http://www2.aneel.gov.br/cedoc/ina2017001sge_sgi.pdf,INA,ina2017001sge_sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2017,06/02/2017,"Altera a Instrução Administrativa ANEEL 005, de 23.12.2015, referentes à bolsa de incentivo à realização de cursos de idiomas prevista no Programa de Incentivo Educacional.",SRH/ANEEL,"Alteração 
 ",http://www2.aneel.gov.br/cedoc/ina2017001srh.pdf,INA,ina2017001srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 004/2015,02/08/2019,"Aprova os Processos ITIL implantados pela Coordenação de Apoio ao Usuário, a serem observados no âmbito da SGI.",SGI/ANEEL,"Aprovação 
 ",http://www2.aneel.gov.br/cedoc/ina2015004sgi.pdf,INA,ina2015004sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 002/2017,24/02/2017,"Altera o art. 2° e incisos I e II do art. 14 e acrescenta os incisos III, IV e V ao mesmo artigo da Instrução Administrativa ANEEL 004, de 29.12.2015.",SRH/ANEEL,"Alteração 
 ",http://www2.aneel.gov.br/cedoc/ina2017002srh.pdf,INA,ina2017002srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 003/2017,04/08/2017,Designa os servidores relacionados como membros do Comitê Gestor do Clima Organizacional - CGCO da Agência Nacional de Energia Elétrica – ANEEL.,SRH/ANEEL,"Designação 
 ",http://www2.aneel.gov.br/cedoc/ina2017003srh.pdf,INA,ina2017003srh.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2015,05/05/2015,"Define os procedimentos gerais para colaboradores na utilização dos ativos de tecnologia da informação, a serem observados no âmbito da Agência Nacional de Energia Elétrica – ANEEL, em atendimento às Diretrizes Básicas da Política de Segurança da Informação e Comunicações da Agência, e conforme detalhados nos Anexos I e II.",SGI/ANEEL,"Procedimento 
 ",http://www2.aneel.gov.br/cedoc/ina2015001sgi.pdf,INA,ina2015001sgi.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 001/2014,20/10/2014,"Aprova a estrutura administrativa da Superintendência de Regulação Econômica – SRE, bem como, delimita os serviços auxiliares à realização de suas funções institucionais.",SRE/ANEEL,"Aprovação 
 ",http://www.aneel.gov.br/cedoc/ina2014001sre.pdf,INA,ina2014001sre.pdf
INA - INSTRUÇÃO ADMINISTRATIVA 002/2015,29/12/2015,Estabelece os procedimentos referentes à participação de servidores em ações do Programa de Formação e Aperfeiçoamento (PFA).,SRH/ANEEL,"Fixação 
 ",http://www.aneel.gov.br/cedoc/ina2015002srh.pdf,INA,ina2015002srh.pdf
